,,,Gap,,,,,,Runtime,,,,,,
n,s,t,ddgfact,ddgfact_plus,upsilon_bfgs,upsilon_bfgs_psideriv,upsilon_lbfgsb,spec,ddgfact,ddgfact_plus,upsilon_bfgs,upsilon_bfgs_psideriv,upsilon_lbfgsb,local_search,spec
63,6,1,0.681585582,0.549001119,0.545723293,0.362555021,0.549001551,0.866023002,9.1038523,0.7588752,11.7618327,37.5538694,3.7249512,1.3587744,0.0215962
63,7,2,1.117300199,0.886575868,0.62148204,0.580193567,0.886576642,1.711838414,0.0495911,0.050589,22.5353422,32.8916007,3.8595268,0.1826124,0.0001636
63,8,3,1.560676524,1.217037015,0.928125971,0.796924002,0.799296458,2.761556177,0.0451986,0.0249305,15.5506621,35.1954535,45.3320629,0.1961029,0.0001668
63,9,4,1.826132582,1.380874472,1.156541216,0.915333351,0.916172349,3.238742315,0.0727169,0.028312,24.4387153,45.7099427,69.3836834,0.2117321,0.0001504
63,10,5,2.008967177,1.488984694,1.130147484,0.999070263,1.488986435,3.704588859,0.0802071,0.0277404,26.191721,36.0832569,9.3995806,0.2456612,0.0001542
63,11,6,2.173849583,1.576762372,1.223576638,1.064898957,1.576764397,4.104969714,0.0773039,0.0414218,28.881832,72.2072796,9.5636234,0.2661681,0.0001602
63,12,7,2.326996385,1.654137414,1.224939886,1.127896471,1.654139684,4.380564924,0.0943275,0.0389951,49.803699,98.995036,24.7788939,0.2405749,0.0001581
63,13,8,2.436326835,1.697526079,1.264960217,1.159035748,1.167725011,4.651988431,0.0873687,0.0399111,55.1291268,201.3563469,397.7243197,0.3579998,0.0001541
63,14,9,2.537396179,1.742768282,1.361201164,1.192600284,1.742770944,4.878523909,0.1211692,0.0416275,56.6305242,224.3512783,32.1730455,0.3519764,0.0001572
63,15,10,2.601800076,1.756880864,1.328799575,1.191337923,1.193043503,5.015652682,0.1355938,0.0466216,66.6163758,190.5936548,1240.686679,0.4325558,0.0001563
