n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_gap,ddgfact_plus_upsilon_lbfgsb_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_runtime,ddgfact_plus_upsilon_lbfgsb_runtime,local_search_runtime,spectral_runtime,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs,z_ddgfact_plus_upsilon_lbfgsb,z_spec,psi_ddgfact_plus,psi_upsilon_bfgs,lambda_min_upsilon_bfgs,feasibility_slack_upsilon_bfgs,psi_upsilon_lbfgsb,lambda_min_upsilon_lbfgsb,feasibility_slack_upsilon_lbfgsb,gamma_min_upsilon_bfgs,gamma_max_upsilon_bfgs,theta_norm_upsilon_bfgs,gamma_min_upsilon_lbfgsb,gamma_max_upsilon_lbfgsb,theta_norm_upsilon_lbfgsb,upsilon_bfgs_improvement_over_ddgfact_plus,upsilon_lbfgsb_improvement_over_ddgfact_plus,upsilon_bfgs_unscaled_obj,upsilon_lbfgsb_best_obj,lbfgsb_eval_count
63,6,1,0.6815855822931239,0.5490011193220861,0.5457232930691495,0.5490014714201807,0.8660230024467304,9.213221,0.7194623,11.9551408,4.7439,1.3712416,0.0217478,-0.43605479872604114,0.2455307835670828,0.1129463205960449,0.10966849434310835,0.11294667269413963,0.42996820372068917,0.031745640422217065,0.03174553613698762,0.03174563613698762,1.0000000000287557e-7,0.03174554052221688,0.03174564052221688,1.0000000000287557e-7,0.8868350237690883,1.0000001632859403,0.3260938176639769,0.9999999604579973,1.0000000000021831,4.962932811724921e-8,0.0032778262529365443,-3.5209809473579767e-7,0.11294675248242361,0.11294667269413963,32.0
63,7,2,1.117300198510117,0.88657586812694,0.6214820399773049,0.8865765548879672,1.7118384140472562,0.0582384,0.0242206,21.5843399,3.621966,0.1719981,0.0001467,-1.7511103267555994,-0.6338101282454823,-0.8645344586286594,-1.1296282867782945,-0.8645337718676323,-0.03927191270834318,0.031745640422217065,0.028497253140002846,0.028497353140002846,9.999999999940612e-8,0.031745540522217064,0.03174564052221707,1.0000000000287557e-7,0.43018430807206964,0.9999993746777038,4.385105553300123,0.9999999517338372,1.0000000141255512,6.567693998371773e-8,0.2650938281496351,-6.867610271577007e-7,-0.8645336849897896,-0.8645337718676323,32.0
63,8,3,1.5606765240084175,1.2170370154514014,0.9281259705695146,1.2170381764809228,2.7615561765710774,0.0403371,0.0237389,14.1498729,3.5319896,0.1847784,0.0001482,-3.416032471028613,-1.8553559470201955,-2.1989954555772115,-2.4879065004590983,-2.19899429454769,-0.6544762944575357,0.031745640422217065,0.026051267745627476,0.026051367745627475,9.999999999940612e-8,0.03174554052221684,0.031745640522216845,1.0000000000287557e-7,0.4264290314876492,0.9999995838514881,4.359625312992133,0.9999999777688678,1.0000000027723523,3.708271633301909e-8,0.2889110448818868,-1.1610295214126154e-6,-2.198994287716056,-2.19899429454769,32.0
63,9,4,1.8261325824396875,1.3808744718166563,1.1565412159213793,1.380875958064947,3.2387423149539396,0.061493,0.0267327,21.325893,4.5320755,0.2075291,0.0001574,-5.1357553107623914,-3.309622728322704,-3.754880838945735,-3.979214094841012,-3.7548793526974444,-1.8970129958084518,0.031745640422217065,0.02470082319490582,0.02470092319490582,9.999999999940612e-8,0.03174554052221629,0.03174564052221629,1.0000000000287557e-7,0.47414074480079244,0.9999996806265806,3.672769223020716,0.9999999685575759,1.0000000053033593,5.825489047191855e-8,0.22433325589527708,-1.4862482906607966e-6,-3.754879340566732,-3.7548793526974444,31.0
63,10,5,2.008967176907807,1.4889846942838778,1.1301474839531496,1.4889864283451137,3.7045888588676092,0.068586,0.0248879,23.6803454,1.5106708,0.2638241,0.0001531,-6.925980373124728,-4.917013196216921,-5.43699567884085,-5.795832889171578,-5.436993944779614,-3.2213915142571183,0.031745640422217065,0.019129154371439704,0.019129254371439704,9.999999999940612e-8,0.03174554052221637,0.03174564052221637,1.0000000000287557e-7,0.28897640690542903,0.7889829862729602,6.735301063465104,0.9999999816568316,1.0000000014577146,2.239981565885945e-8,0.35883721033072824,-1.734061235936224e-6,-5.436993937815262,-5.436993944779614,13.0
63,11,6,2.173849583320732,1.5767623723994575,1.2235766378464596,1.5767643909060185,4.104969713603816,0.0559768,0.0284314,26.1879829,3.9516423,0.2395868,0.0001455,-8.782347064025476,-6.608497480704744,-7.205584691626019,-7.5587704261790165,-7.205582673119458,-4.6773773504216605,0.031745640422217065,0.023642821461009843,0.023642921461009842,9.999999999940612e-8,0.03174554052221645,0.031745640522216456,1.0000000000287557e-7,0.4305572596383316,0.9999996836322488,4.613533071770452,0.9999999858926373,1.0000000020955646,1.8899014220156413e-8,0.35318573455299784,-2.0185065610078823e-6,-7.205582667383445,-7.205582673119458,17.0
63,12,7,2.326996384984888,1.6541374141066836,1.224939885881863,1.6541396725741713,4.380564924477704,0.0802655,0.0345582,44.3723058,12.2618891,0.2572821,0.0001532,-10.70965070149462,-8.382654316509733,-9.055513287387937,-9.484710815612758,-9.05551102892045,-6.329085777016917,0.031745640422217065,0.02036546743590655,0.020365567435906548,9.999999999940612e-8,0.03174554052221567,0.03174564052221567,1.0000000000287557e-7,0.35931861365992457,0.8093256422013545,6.077741120009661,0.9999999749024729,1.0000000040735586,3.8699312844866715e-8,0.4291975282248206,-2.2584674876924282e-6,-9.055511017660072,-9.05551102892045,14.0
63,13,8,2.4363268351157714,1.697526078998358,1.2649602169483813,1.6975285444726627,4.651988430728089,0.0983009,0.0350237,48.7976307,27.412341,0.3048523,0.0001455,-12.662950922668134,-10.226624087552363,-10.965424843669776,-11.397990705719753,-10.965422378195472,-8.010962491940045,0.031745640422217065,0.022343840380369306,0.022343940380369305,9.999999999940612e-8,0.031745540522215863,0.031745640522215866,1.0000000000287557e-7,0.4191864217772955,0.8837198142216176,5.46017097287855,0.999999980906679,1.0000000036538432,3.2160388102415815e-8,0.4325658620499766,-2.4654743047136662e-6,-10.965422366687935,-10.965422378195472,18.0
63,14,9,2.537396179000755,1.7427682822524275,1.3612011637172117,1.7427707549671645,4.878523908881128,0.115797,0.0371758,50.466386,119.1089353,0.3189898,0.0001435,-14.665988682307255,-12.1285925033065,-12.923220400054827,-13.304787518590043,-12.92321792734009,-9.787464773426127,0.031745640422217065,0.01851667698100175,0.01851677698100175,9.999999999940612e-8,0.03174554052221612,0.03174564052221612,1.0000000000287557e-7,0.30716318222369315,0.7307911850031389,6.761958916033985,0.9999999804351388,1.0000000037688157,3.4861306948212616e-8,0.38156711853521585,-2.4727147369674185e-6,-12.923217738381165,-12.92321792734009,57.0
63,15,10,2.6018000763386127,1.7568808643717517,1.3287995747519563,1.7568836785877302,5.015652681811954,0.0939201,0.0385214,63.4431871,23.5765454,0.4086975,0.0001659,-16.67198161180236,-14.070181535463746,-14.915100747430607,-15.343182037050402,-14.915097933214629,-11.656328929990405,0.031745640422217065,0.01955466002297131,0.01955476002297131,9.999999999940612e-8,0.03174554052221677,0.031745640522216775,1.0000000000287557e-7,0.36503760059478235,0.7586838654306387,6.33123987094792,0.9999999790399476,1.0000000019572417,2.6312828136812037e-8,0.4280812896197954,-2.8142159784749765e-6,-14.915097922110503,-14.915097933214629,13.0
