,,,Gap,,,,Runtime,,,,,Var_fixing,,,,
n,s,t,ddgfact,ddgfact_plus,upsilon,spec,ddgfact,ddgfact_plus,upsilon,ls,spec,ddgfact,ddgfact_plus,upsilon_simple,upsilon_strong,upsilon_dominance
63,2,1,0.285520354,0.216724234,0.092021315,1.454679685,3.7084673,0.508173,18.157135,0.545299,0.0222702,9,38,15,15,1
63,3,2,0.506849192,0.377696304,0.212796051,2.628504284,0.3113749,0.257846,37.365457,0.1624758,0.0002249,0,7,0,0,1
63,4,3,0.565020057,0.407400961,0.226580469,3.765417299,0.0762021,0.0303064,71.8076229,0.1679982,0.0001778,0,9,0,0,1
63,5,4,0.613818122,0.44179147,0.252090691,4.312918242,0.0420944,0.0243644,53.7036782,0.1813284,0.0002273,0,7,0,0,1
63,6,5,0.660180752,0.471190262,0.285522071,4.807601545,0.0394542,0.0208802,52.2327799,0.1918911,0.0001914,0,2,0,0,1
63,7,6,0.643202269,0.433745394,0.259678528,5.186903521,0.0422447,0.0358535,34.4204694,0.1830704,0.0006678,0,4,0,0,1
63,8,7,0.725919568,0.496685522,0.32170085,5.520773693,0.0415377,0.0276525,64.2721797,0.2442671,0.0001861,0,0,0,0,1
63,9,8,0.769465744,0.520278377,0.347269688,5.825502913,0.0594017,0.0328189,60.5981816,0.2910899,0.0001953,0,0,0,0,1
63,10,9,0.7868548,0.517189411,0.343594163,6.046134868,0.0603256,0.0609981,49.318176,0.2897004,0.0001857,0,0,0,0,1
63,11,10,0.841737435,0.554865817,0.380140175,6.247254927,0.0821115,0.0398822,73.085892,0.2860006,0.000194,0,0,0,0,1
