n,s,t,fw_gap,fw_runtime,fwls_gap,fwls_runtime,simplex_gap,spec_gap
63,20,1,1.01825974129516,4.3583797,1.0192226204904753,0.1880055,1.0192226204904753,0.3759534966211058
63,20,2,1.4937417236663424,0.1305832,1.4946926774344051,0.187649,1.494692677434405,0.6736497693319619
63,20,3,2.052207567452156,0.1677845,2.0531660704634556,0.1936009,2.053166070463455,1.4103884433661247
63,20,4,2.4365790203591224,0.6470366,2.4375404426731286,0.2057558,2.4375404426731277,1.7066115312732733
63,20,5,2.7673393609234704,0.2099942,2.7682739880855824,0.2844383,2.766026710567681,2.1735307573016844
63,20,6,3.0098281606112938,0.2316227,3.01078899695573,0.2446675,2.9960964103563006,2.639952548293401
63,20,7,3.1298618697440093,0.2580632,3.13077470335278,0.2619366,3.0897055839186534,2.982350800687275
63,20,8,3.146976309109343,0.2730316,3.1471336439253363,0.3824944,3.07778371859634,3.3546306345648436
63,20,9,3.0530563371380826,0.3040763,3.0531946864836144,0.7821248,2.952003868536165,3.651594633926349
63,20,10,2.973959891877781,0.3373677,2.974051850822139,1.682783,2.825625068603248,3.9768979827907103
63,20,11,2.789576103890898,0.3494337,2.7894664918653795,2.0166459,2.58741444369765,4.208993163955073
63,20,12,2.606501950228818,0.2894505,2.606598765397109,1.2490086,2.345344813779011,4.500296439710992
63,20,13,2.455166290530137,0.36479,2.455531635940236,0.739963,2.1289479165377116,4.826885749924184
63,20,14,2.2259774867354523,0.5765945,2.225679740317517,5.8992077,1.8174784072554964,5.116807578615717
63,20,15,1.9410774410937819,0.6745561,1.9408048059164749,4.7765126,1.4398740640074479,5.41454489659877
63,20,16,1.6156429376078307,0.971824,1.6151690516726518,8.6610331,1.009830397898984,5.68254569891775
63,20,17,1.2858108926850171,1.1547752,1.285318541385756,13.1402746,0.5607433848807126,5.960514189793468
63,20,18,0.9310285664981777,1.8288307,0.9304746971256108,25.9629321,0.07121369904124464,6.207735588474769
63,20,19,0.5696869647394252,2.1423175,0.5691241745084241,41.7082055,-0.43817498421295653,6.483300310514828
63,20,20,0.23449447945448298,2.9294684,0.23387983893871933,53.7005321,-0.9888815253282743,6.818316654885429
