n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_runtime,local_search_runtime,spectral_runtime,n_fixed_ddgfact_dual,n_fixed_ddgfact_plus_dual,n_fixed_ddgfact_plus_primal,n_fixed_ddgfact_plus_union,n_fixed_ddgfact_plus_upsilon_bfgs_dual,n_fixed_ddgfact_plus_upsilon_bfgs_primal,n_fixed_ddgfact_plus_upsilon_bfgs_union,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs,z_spec,psi_ddgfact_plus,psi_upsilon_bfgs,lambda_min_upsilon_bfgs,feasibility_slack_upsilon_bfgs,gamma_min_upsilon_bfgs,gamma_max_upsilon_bfgs,theta_norm_upsilon_bfgs
63,2,1,0.2855203538847346,0.21672423402435204,0.09202927125394111,1.4546796845492647,0.559804,0.4863559,13.8130915,0.4927956,0.0308768,9.0,38.0,38.0,38.0,12.0,12.0,12.0,-1.0247114808285755,-0.7391911269438409,-0.8079872468042235,-0.9326822095746344,0.42996820372068917,0.031745640422217065,0.049737526279808826,0.04973762627980883,1.0000000000287557e-7,0.592083621507338,1.794985716239364,2.0758987523462156
63,3,2,0.506849191718401,0.3776963044372206,0.21280235123879176,2.6285042839927746,0.4056065,0.306368,26.5583949,0.1625418,0.0004417,0.0,7.0,7.0,7.0,0.0,0.0,0.0,-2.6677761967011175,-2.1609270049827165,-2.290079892263897,-2.4549738454623258,-0.03927191270834318,0.031745640422217065,0.049658802327694776,0.04965890232769478,1.0000000000287557e-7,0.6788147711928981,1.6501418340968421,1.9058812305290702
63,4,3,0.5650200573699395,0.4074009607190554,0.2265850183309377,3.765417298825742,0.0394328,0.0860896,58.8150561,0.1772564,0.0003028,0.0,9.0,9.0,9.0,0.0,0.0,0.0,-4.419893593283278,-3.854873535913338,-4.012492632564222,-4.19330857495234,-0.6544762944575357,0.031745640422217065,0.04903242777527219,0.04903252777527219,1.0000000000287557e-7,0.6300672562158811,1.6188612018896986,1.926004654269397
63,5,4,0.6138181223720123,0.4417914695274616,0.25208789967618195,4.3129182419840815,0.0423408,0.0483834,62.4894891,0.1875925,0.0002413,0.0,7.0,7.0,7.0,0.0,0.0,0.0,-6.209931237792533,-5.596113115420521,-5.768139768265072,-5.957843338116351,-1.8970129958084518,0.031745640422217065,0.04801014831840385,0.04801024831840385,1.0000000000287557e-7,0.7406499507074935,1.7254989630946918,1.7933964512011622
63,6,5,0.6601807515487481,0.47119026212415704,0.2855269645228695,4.807601544662485,0.0215883,0.0444324,34.0837947,0.173333,0.0002754,0.0,2.0,2.0,2.0,0.0,0.0,0.0,-8.028993058919603,-7.368812307370855,-7.557802796795446,-7.743466094396734,-3.2213915142571183,0.031745640422217065,0.04802842872342854,0.04802852872342854,1.0000000000287557e-7,0.7385001645634495,1.7386569156897393,1.7461553505138707
63,7,6,0.6432022688058741,0.4337453940981568,0.25969980360244627,5.186903520830602,0.0570933,0.0248096,27.2520183,0.198829,0.0002401,0.0,4.0,4.0,4.0,0.0,0.0,0.0,-9.864280871252262,-9.221078602446388,-9.430535477154105,-9.604581067649816,-4.6773773504216605,0.031745640422217065,0.04706511420168048,0.047065214201680486,1.0000000000287557e-7,0.7265896928473712,1.5538283062016285,1.542871468537452
63,8,7,0.7259195683788153,0.49668552180379777,0.3217028799283934,5.520773692935021,0.0307264,0.0264912,67.8426798,0.2279019,0.0002885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.849859469951937,-11.123939901573122,-11.35317394814814,-11.528156590023544,-6.329085777016917,0.031745640422217065,0.04610358656775021,0.04610368656775021,1.0000000000287557e-7,0.7099206681798667,1.6299628956151588,1.4908123158262137
63,9,8,0.7694657443394028,0.520278377250424,0.34734067359617704,5.825502913022834,0.0368888,0.0316179,28.9757098,0.2903049,0.0003917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.83646540496288,-13.066999660623477,-13.316187027712456,-13.489124731366703,-8.010962491940045,0.031745640422217065,0.04530639596594385,0.045306495965943855,1.0000000000287557e-7,0.7775960383665228,1.6148915484140791,1.3812303110265516
63,10,9,0.7868548000581583,0.5171894114261377,0.34348888114767284,6.046134868054011,0.0695077,0.0312556,57.8547403,0.2792112,0.0003086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.833599641480138,-15.04674484142198,-15.316410230054,-15.490110760332465,-9.787464773426127,0.031745640422217065,0.04467192010075426,0.044672020100754266,1.0000000000287557e-7,0.776790894153588,1.4898207553230323,1.235018664366704
63,11,10,0.8417374349416136,0.5548658166118265,0.38013994804503426,6.247254926580432,0.0660761,0.0362438,70.65827,0.284519,0.0002519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.903583856570837,-17.061846421629223,-17.34871803995901,-17.523443908525802,-11.656328929990405,0.031745640422217065,0.04431694902291879,0.044317049022918796,1.0000000000287557e-7,0.8147130425267325,1.5183378399707834,1.175981758975536
